524,0,1
1524,0,1
2524,0,1
3524,0,1
4524,0,1
5524,0,1
6524,0,1
7524,0,1
8524,0,1
9524,0,1
10524,0,1
11524,0,1
12524,0,1
13524,0,1
14524,0,1
15524,0,1
16524,0,1
17524,0,1
18524,0,1
19524,0,1
20524,0,1
21524,0,1
22524,0,1
23524,0,1
24524,0,1
25524,0,1
26524,0,1
27524,0,1
28524,0,1
29524,0,1
30524,0,1
31524,0,1
32524,0,1
33524,0,1
34524,0,1
35524,0,1
36524,0,1
37524,0,1
38524,0,1
39524,0,1
40524,0,1
41524,0,1
42524,0,1
43524,4095,0
44524,3350,0
45524,2638,0
46524,2094,0
47524,456,1
48524,0,1
49524,16,1
50524,1593,1
51524,2534,0
52524,152,1
53524,4095,0
54524,3078,0
55524,2110,0
56524,1849,1
57524,1409,1
58524,244,1
59524,0,1
60524,4095,0
61524,4095,0
62524,3715,0
63524,3715,0
64524,3094,0
65524,2610,0
66524,2110,0
67524,1697,1
68524,1197,1
69524,821,1
70524,332,1
71524,4095,0
72524,4095,0
