18020,2652,0.00,1
19020,2672,0.00,1
20020,2653,0.00,1
21020,2649,0.00,1
22020,2653,0.00,1
23020,2667,0.00,1
24020,2655,0.00,1
25020,2646,0.00,1
26020,2651,0.00,1
27020,2657,0.00,1
28020,2655,0.00,1
29020,2657,0.00,1
30020,2656,0.00,1
31020,2645,0.00,1
32020,2646,0.00,1
33020,2659,0.00,1
34020,2658,0.00,1
35020,2641,0.00,1
36020,2613,0.00,1
37020,2646,0.00,1
38020,2658,0.00,1
39020,2653,0.00,1
40020,2651,0.00,1
41020,2650,0.00,1
42020,2643,0.00,1
43020,2654,0.00,1
44020,2650,0.00,1
45020,2650,0.00,1
46020,2655,0.00,1
47020,2651,0.00,1
48020,2663,0.00,1
49020,2655,0.00,1
50020,2675,0.00,1
51020,2651,0.00,1
52020,2659,0.00,1
53020,2661,0.00,1
54020,2659,0.00,1
55020,2635,0.00,1
56020,2658,0.00,1
57020,2672,0.00,1
58020,2667,0.00,1
59020,2667,0.00,1
60020,2672,0.00,1
61020,2656,0.00,1
62020,2663,0.00,1
63020,2659,0.00,1
64020,2667,0.00,1
65020,2657,0.00,1
66020,2660,0.00,1
67020,2658,0.00,1
68020,2657,0.00,1
69020,2698,0.00,1
70020,2656,0.00,1
71020,2663,0.00,1
72020,2657,0.00,1
73020,2666,0.00,1
74020,2665,0.00,1
75020,2657,0.00,1
76020,2658,0.00,1
77020,2657,0.00,1
78020,2676,0.00,1
79020,2616,0.00,1
80020,2667,0.00,1
81020,2837,0.00,1
82020,2671,0.00,1
83020,2661,0.00,1
84020,2656,0.00,1
85020,2662,0.00,1
86020,2661,0.00,1
87020,2666,0.00,1
88020,2709,0.00,1
89020,2662,0.00,1
90020,2663,0.00,1
91020,2667,0.00,1
92020,2640,0.00,1
93020,2662,0.00,1
94020,2657,0.00,1
95020,2666,0.00,1
96020,2660,0.00,1
97020,2662,0.00,1
98020,2660,0.00,1
99020,2662,0.00,1
100020,2663,0.00,1
101020,2656,0.00,1
102020,2652,0.00,1
103020,2665,0.00,1
104020,2657,0.00,1
105020,2581,1.36,1
106020,2658,0.00,1
107020,2625,0.00,1
108020,2658,0.00,1
109020,2661,0.00,1
110020,2656,0.00,1
111020,2646,0.00,1
